,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
53,Lamb,II 2021,106 min,6.4,"Drama, Horror, Mystery","6,103","A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.","['Valdimar Jóhannsson', 'Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Sigurdsson']",Noomi Rapace
54,Peaky Blinders,2014–,60 min,8.8,"Crime, Drama","420,267","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",Paul Anderson
55,Shang-Chi and the Legend of the Ten Rings,2021,132 min,7.9,"Action, Adventure, Fantasy","117,797","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","['Destin Daniel Cretton', 'Simu Liu', 'Awkwafina', 'Tony Chiu-Wai Leung', 'Ben Kingsley']",Simu Liu
56,NCIS: Naval Criminal Investigative Service,2003–,60 min,7.7,"Action, Crime, Drama","131,812","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","['Mark Harmon', 'David McCallum', 'Sean Murray', 'Pauley Perrette']",David McCallum
57,Scream,1996,111 min,7.3,"Horror, Mystery","309,357","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.","['Wes Craven', 'Neve Campbell', 'Courteney Cox', 'David Arquette', 'Skeet Ulrich']",Neve Campbell
58,The Guilty,2021,90 min,6.3,"Crime, Drama, Thriller","78,380",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,"['Antoine Fuqua', 'Jake Gyllenhaal', 'Riley Keough', 'Peter Sarsgaard', 'Christina Vidal']",Jake Gyllenhaal
59,Lucifer,2016–2021,42 min,8.1,"Crime, Drama, Fantasy","291,668",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside']",Lauren German
60,Ghostbusters: Afterlife,2021,124 min,7.9,"Comedy, Fantasy",278,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","['Jason Reitman', 'Finn Wolfhard', 'Mckenna Grace', 'Carrie Coon', 'Sigourney Weaver']",Finn Wolfhard
61,Breaking Bad,2008–2013,49 min,9.4,"Crime, Drama, Thriller","1,600,324",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",Aaron Paul
62,The Suicide Squad,2021,132 min,7.3,"Action, Adventure, Comedy","235,823","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","['James Gunn', 'Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']",Margot Robbie
63,Chicago Fire,2012–,43 min,8.0,"Action, Drama","48,083","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.","['Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', 'Joe Minoso']",Christian Stolte
64,Law & Order: Special Victims Unit,1999–,60 min,8.0,"Crime, Drama, Mystery","93,325","This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']",Christopher Meloni
65,Another Life,2019–,43 min,5.1,"Adventure, Drama, Mystery","30,829",Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,"['Katee Sackhoff', 'Samuel Anderson', 'A.J. Rivera', 'JayR Tinaco']",Samuel Anderson
66,Sardar Udham,2021,164 min,9.1,"Biography, Crime, Drama","22,524",A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,"['Shoojit Sircar', 'Vicky Kaushal', 'Banita Sandhu', 'Shaun Scott', 'Stephen Hogan']",Vicky Kaushal
67,Shameless,2011–2021,46 min,8.5,"Comedy, Drama","219,100","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum', 'William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']",William H. Macy
68,See,2019–,60 min,7.7,"Action, Drama, Sci-Fi","62,295","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.","['Jason Momoa', 'Sylvia Hoeks', 'Hera Hilmar', 'Christian Camargo']",Sylvia Hoeks
