Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Director
Sex Education,2019–,45,8.3,"Comedy, Drama",228700.00,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,Gillian Anderson
Dune,2000,265,7.0,"Adventure, Drama, Fantasy",21779.00,"A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",Alec Newman
What We Do in the Shadows,2016–,30,8.6,"Comedy, Fantasy, Horror",53550.00,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",Matt Berry
The Sopranos,1999–2007,55,9.2,"Crime, Drama",344032.00,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",Lorraine Bracco
Dopesick,2021–,120,8.7,Drama,4983.00,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",Peter Sarsgaard
Grey's Anatomy,2005–,41,7.5,"Drama, Romance",277264.00,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,Chandra Wilson
The Morning Show,2019–,60,8.4,Drama,77357.00,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",Reese Witherspoon
The Office,2005–2013,22,8.9,Comedy,480434.00,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Jenna Fischer
Chucky,2021–,42,7.5,"Horror, Mystery, Thriller",5708.00,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.",Brad Dourif
The Blacklist,2013–,43,8.0,"Crime, Drama, Mystery",222176.00,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",Megan Boone
Curb Your Enthusiasm,2000–,28,8.7,Comedy,112757.00,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Larry David
After We Fell,2021,98,4.8,Drama,5630.00,"Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.",Josephine Langford
Undercover,2021–,50,8.0,"Action, Crime, Drama",8490.00,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,Ahn Bo-Hyun
American Crime Story,2016–,42,8.4,"Biography, Crime, Drama",88988.00,An anthology series centered around America's most notorious crimes and criminals.,Annaleigh Ashford
Black Widow,2021,134,6.8,"Action, Adventure, Sci-Fi",263766.00,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Scarlett Johansson
The Chestnut Man,2021–,50,7.8,"Crime, Drama, Mystery",23724.00,A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,David Dencik
De slag om de Schelde,2020,124,7.1,"Drama, War",15162.00,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.",Gijs Blom
Old,2021,108,5.8,"Drama, Horror, Mystery",61716.00,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",Gael García Bernal
Castle,2009–2016,43,8.1,"Comedy, Crime, Drama",148943.00,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",Stana Katic
Yellowstone,2018–,60,8.6,"Drama, Western",50318.00,A ranching family in Montana faces off against others encroaching on their land.,Luke Grimes
The Many Saints of Newark,2021,120,6.4,"Crime, Drama",32776.00,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",Alessandro Nivola
Friends,1994–2004,22,8.8,"Comedy, Romance",908093.00,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,Courteney Cox
Lamb,2021,106,6.4,"Drama, Horror, Mystery",6960.00,"A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.",Noomi Rapace
Peaky Blinders,2014–,60,8.8,"Crime, Drama",420862.00,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Paul Anderson
Shang-Chi and the Legend of the Ten Rings,2021,132,7.9,"Action, Adventure, Fantasy",119093.00,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Simu Liu
NCIS: Naval Criminal Investigative Service,2003–,60,7.7,"Action, Crime, Drama",131943.00,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",David McCallum
Scream,1996,111,7.3,"Horror, Mystery",309909.00,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",Neve Campbell
The Guilty,2021,90,6.3,"Crime, Drama, Thriller",79744.00,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,Jake Gyllenhaal
Lucifer,2016–2021,42,8.1,"Crime, Drama, Fantasy",292080.00,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,Lauren German
Ghostbusters: Afterlife,2021,124,7.9,"Comedy, Fantasy",360.00,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Finn Wolfhard
Breaking Bad,2008–2013,49,9.4,"Crime, Drama, Thriller",1601310.00,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Aaron Paul
The Suicide Squad,2021,132,7.3,"Action, Adventure, Comedy",237567.00,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",Margot Robbie
Chicago Fire,2012–,43,8.0,"Action, Drama",48277.00,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",Christian Stolte
Law & Order: Special Victims Unit,1999–,60,8.0,"Crime, Drama, Mystery",93492.00,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.",Christopher Meloni
Another Life,2019–,43,5.1,"Adventure, Drama, Mystery",31118.00,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,Samuel Anderson
Sardar Udham,2021,164,9.1,"Biography, Crime, Drama",23364.00,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Vicky Kaushal
Shameless,2011–2021,46,8.5,"Comedy, Drama",219343.00,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",William H. Macy
See,2019–,60,7.7,"Action, Drama, Sci-Fi",62617.00,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.",Sylvia Hoeks
Titans,2018–,45,7.6,"Action, Adventure, Crime",84575.00,A team of young superheroes combat evil and other perils.,Anna Diop
I onde dager,2021,113,6.9,"Action, Comedy, Horror",9015.00,"A dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. Before they can carry out their plans, unexpected visitors arrive and they face a greater danger.",Noomi Rapace
La casa de papel,2017–2021,70,8.2,"Action, Crime, Drama",399149.00,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,Álvaro Morte
Stranger Things,2016–,51,8.7,"Drama, Fantasy, Horror",925282.00,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",Finn Wolfhard
The Witcher,2019–,60,8.2,"Action, Adventure, Fantasy",357866.00,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",Anna Shaffer
Halloween,2018,106,6.6,"Crime, Horror, Thriller",138953.00,"Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Jamie Lee Curtis
Doctor Who,2005–,45,8.6,"Adventure, Drama, Family",208833.00,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Peter Capaldi
The Sinner,2017–,45,7.9,"Crime, Drama, Mystery",101285.00,Anthology series that examines how and why ordinary people commit brutal crimes.,Jessica Hecht
Dexter,2006–2013,53,8.6,"Crime, Drama, Mystery",681254.00,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",Jennifer Carpenter
I Know What You Did Last Summer,2021–,45,5.3,"Horror, Mystery, Thriller",3176.00,"In a town full of secrets, a group of teenagers are stalked by a mysterious killer a year after a fatal accident on their graduation night.",Brianne Tju
Titane,2021,108,6.8,"Drama, Horror, Sci-Fi",13039.00,"Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.",Vincent Lindon
The Haunting of Hill House,2018,572,8.6,"Drama, Horror, Mystery",210331.00,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",Carla Gugino
Supernatural,2005–2020,44,8.4,"Drama, Fantasy, Horror",412829.00,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",Jensen Ackles
The Long Call,2021–,0.00,6.4,"Crime, Drama",894.00,Follows detective Matthew Venn as he returns to an evangelical community in which he grew up to attend his father's funeral.,Declan Bennett
Criminal Minds,2005–2020,42,8.1,"Crime, Drama, Mystery",179138.00,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.",Kirsten Vangsness
The Black Phone,2021,102,8.1,Horror,324.00,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Ethan Hawke
The Boys,2019–,60,8.7,"Action, Crime, Drama",320040.00,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Jack Quaid
Blade Runner 2049,2017,164,8.0,"Action, Drama, Mystery",509437.00,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Harrison Ford
Doom Patrol,2019–,60,7.9,"Action, Adventure, Comedy",44974.00,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,Diane Guerrero
The Good Doctor,2017–,41,8.1,Drama,80112.00,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",Hill Harper
La Brea,2021–,0.00,5.4,"Drama, Mystery, Sci-Fi",4687.00,"A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers.",Eoin Macken
Vikings,2013–2020,44,8.5,"Action, Adventure, Drama",475213.00,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Gustaf Skarsgård
A Nightmare on Elm Street,1984,91,7.5,Horror,222381.00,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,Heather Langenkamp
Dynasty,2017–,42,7.3,Drama,18379.00,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,Rafael de la Fuente
The Outlaws,2021–,0.00,7.6,"Comedy, Crime, Drama",835.00,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.,Darren Boyd
Riverdale,2017–,45,6.7,"Crime, Drama, Mystery",131832.00,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",Lili Reinhart
Ron's Gone Wrong,2021,106,7.2,"Animation, Adventure, Comedy",2615.00,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.",Jean-Philippe Vine
The Nightmare Before Christmas,1993,76,8.0,"Animation, Family, Fantasy",315343.00,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Danny Elfman
Ghosts,2021–,0.00,7.2,"Comedy, Fantasy",2898.00,"A young couple, whose dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.",Utkarsh Ambudkar
Cruella,2021,134,7.4,"Adventure, Comedy, Crime",182184.00,A live-action prequel feature film following a young Cruella de Vil.,Emma Stone
Fear the Walking Dead,2015–,44,6.9,"Drama, Horror, Sci-Fi",121354.00,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",Frank Dillane
